用户id,手机号数量,是否在黑名单中
95ed76f12254be6ee1a17774a1b438be2f6e8dc7c71639d6fc021488947518fb,3,0
09b73edcb30d122207e791085ff096b15a77495797a7f1505b720a5e55cd18bd,2,0
9049a3d71f8156570426b2c6e7dbce612b213aeeb820f0dde1a1762db623e2fe,7,0
f77c047e30f28584a027b7c18be463f3760470c5585afc094bb2ec209cd9650e,3,0
53a01e2c94a4c4c30a0318da1b1ba0c6543b9fd40d5a6e1e24614c65a0664ec7,4,0
eec221620099369236c187e6a6e36ea80dd3e875f645537d2e933519e9d8abd3,5,0
4d3ee73e0596144d574a2ce3de0aa01fb0df1b8c6ee8ffd7f57b6aab3867d34f,4,0
a637bdffa688ea79fd3280be1f70c7629cef9b8baed8a2b83beb94ae7b61cf63,7,0
8e605f7ffb93d6f6e41b0f8c460fe67fb7592d45e8468fed39951e87ed8eca99,2,0
c95a5734181229095ae63eb41545711dea92a331410f0a89fd51d329c9390db5,3,0
1757a5ddf756693ba472ac79b324da66fb9a46f58b8bf82fbc3cfce3e36bdd5a,2,0
438c3d08562c69ee197f0503136bcc0e12c69a94beb6a45410f394945960817a,4,0
573d9ae484b0f1411084fa2a9b7be444b7faae7a56160bead7fbbccd30201d47,5,0
7341516b50744f6371ee7c4802257d92d14cff7b23037670c3079f30f7adbebf,2,0
0c5eb28870537232139cf3fde797b692d47ce60873f9cd23afe3593eda8a8b53,2,0
0589529ce759ad57aed84e0c75c97b73e277564f5bfb24cdd5458394cebe7c52,2,0
52b8bee6ea2d8abc2cb122123a207038d892ae6521602f8e6d491404abe4fd7a,2,0
9646642e053f7f7cbe4f3e9c70a4b5edd3bdc294626bc61963f3b62ef5ae932d,3,0
dbbc084983587f6ce456056dc209cf1c12038f96120e75d6574ab2612cfad204,2,0
6193cdc115e61a79a4634677d87f163ecb9be7bcf3820d73615abd594b9a90eb,2,0
8b6003d710ba278d562e0b8c2b9dd04922e790c527f02631cf774ca707d4d6a9,2,0
07f9547502eb2f79ac0739a7ab95ad77d677864f38f27a83ba2463de8f14f572,4,0
ee54befe669609bdafdffc613eb6a9b249b6792b69442ba061b409ecb953ad73,7,0
6cc3aa9a349f8fc06d80d9522f13eefb4cb8d733ae4acd2ca2888412dbd7f786,6,0
425d975101f757272a0e13165ab8186cef5741f7a7d5e49622ef768b4787f4d5,6,0
8a11d8d14b986f61bc767e7f2129a32ce93466bc4b8280c6b3441ec6ba2cdab9,2,0
9f5e976630169e06b6659a080f48a8ded7c1bf26d556533784ec926026932b4e,2,0
6350ec4c39d264431bc4e9ecb967808dd32030764d0b2c51729a0366f6b0cd50,3,0
eee2762f04d9cbba2f6a8d6f53ae9036aa3628fc07a65b7ed3dee9bb29c8c758,4,0
e4631867cad8bb1c08166dc5bc774abb5d1a4dcb8e782b0884fd4436d0d1bcd9,5,0
ce95d48f5336ab8de0065643eeb84a67819ef5f95a0a4478e26682f6a7df7662,3,0
fe41c7e0bb21e4c513e3675bb0f88a8a91006f2c526215fcd73a6c5d225e55ab,3,0
2d2384287ac6ac8bc03f6ad4d3d20716862349371ee734c00563a4d18c097ba9,3,0
6a0bce870d0576de50d22e95c6af7df747cfc5aca5a84379e90e23ca124d87ca,8,0
00d7e02e09d59de666fea6adbb8fb0e5a35ad256fb7cc8ffd9bca8c0e75f4d0e,5,0
b573f467960b2ab8b0c5f2ab1416eb4f05c9acbd8ba7da7579433c6a84c44be3,3,0
0db281b089259cc9e60e40ba50ddd3c400b443ed21e40826416c31996551a9c1,2,0
5ecc4ab0c861f2c57234a9c1f8ab22b423ea2540ad2dc0d1f362ce8ca60fbac1,7,0
af530b9570ae327b6676ce6a6775198b81bc35592f390c25534a160cdcc489a9,4,0
484df4e1ac977d3774a8f2cef054d9d00231bb425ae66a6f1ddd438026b77f69,9,0
97854096ecc2be7a7f2c126b9ecc25d89526b934d4ce8f1b3933fa4690b3ee89,2,0
5a25e4e5c65e82053378740309c665ed3f7a17413d7bdb65c31c2667b57c1998,6,0
59c69dc1f4367b8e521de5cff9d6a963d00bae02512a86f8577b365268b2cc2f,2,0
ae7e5fa800d77eea1ab2d7ac48cfd88af1ab0584baee5c40b3c13425414394f9,2,0
712a777352a57c520cc24ed5b70974d7abfd5c97e31c6e0786a299c2c65402c5,7,0
ea954d60d3cda2308675de972005300a1fa352b4c33c5aba2ee9e4a36cbf9ed1,9,0
fa342689f047b077b40d16d985d7decf19ce5e0f08fcf45d654e036dfca2b3d5,2,0
bbfbf4147bb510de468ea6c861f233f42b31cd1c50f03f87a59bda5ac82f9872,2,0
9384a9654faca14cf6fc8ba59fe82326e33eab58a53b60ed6bcf6ab467b73c52,2,0
d0ff31add3e9585c8f51033d719d878cb09953afba17bfcae2b1cbe9f207ab9a,3,0
91691717c1749cefe9f00b0031393f73b28e4655d817cd11617dec205f99e322,2,0
f9dbefea648da9bbc44b1b0d30a7812a249752cfb81de71fa22d575ce44fbfec,8,0
