用户id,手机号数量,是否在黑名单中
62e3b929858ab6f589a18ed4fd7e330946e4bc931fa375b3c4bd8b0de18097bf,4,0
c37308ee1cfe5181294e9190c46ecbb12ede4229f5526904b50eccdff6d280f4,6,0
327de8d3e2f9c130fa04b4ed1eb691678dc49142fb93b2a9784147fb5408e0bd,2,0
7920d64cdca539cbe9b1ca5ed36f17494441a56c45432b21e60d015f1ccae214,2,0
c883f14649b2da56c58b7ce7b2905e90b3faf4e10a39844ab4b018f623bcfdee,2,0
9a7b6fdd8d7508faf4309d47c078203276a8dc431f9bb199611996062994031c,2,0
d907fa9ff63f30f933ff6b17a69e2963765321bcb9009b7978407028330768e3,4,0
eca99150a2027526665ee84214d7193fba4c9379125faa361e1b6eb125e36867,4,0
cdc607a4cc26b27949ea8f7cc5aa9369e9afe0b3669b6f157c48d65df9eeb7fb,2,0
f91717d5acae325979f4678828c38664ecc30a52e796f6f31a8be2102b79c9b9,2,0
df9983c0dc2990a819b0ed21e272eda89fd4ef8819c851b332f157e9c415e352,9,0
0271112a5877f0f016936ab091ac5d967a71a8417813341b4860f8b4dc5cd775,2,0
71ef0f3de08a4768191b25cf5c2a8dc6dd7531202bfab1b864b2f96d9cca8852,2,0
91fa9e69cdc39eef3fa9806d1d1f36953899e8e78318d9655bdbadb0e2c57ac5,7,0
11f8ee4f32f9a17ffe3c8d7f3525e035d2460009c13793b778ab41de30a3720a,3,0
f4634a28e45bb228901a99e6d076a972bdf935863e9a698d690f43c6d7190cb8,2,0
d9a97d32f0d1ff11891a0678a805488c607d871e831a7ad227b1cccda9cb8923,2,0
79a930e2b3edf71f346bf6b86a904cea5821d57f37a0b1cf949589eb61ec76dd,6,0
ff43be164e90af45b1729fc31be60e1b5fbf1e17e5affd61bdcacf087e9a6a12,3,0
0c7d9c83cd75218b634439f7054746ce29c995db714be3e15fa60d64b4eaaeae,2,0
478154e415c47dfadbceef087fe69fb3604bd0655b1f31b6dad115b43933eec2,3,0
ea8af7eba5bb30a3a16481d7c9bfc6a284082e4337891fc4761d51f9f2d8bcc7,5,0
f64c9f1eedf183f8d3d41b2d270ac0576a245591617ad7e088d921023de11cf9,3,0
5888f0a1b8767e2e34f4996292fb23c8281e9cbb74426ee479767b5654798a20,2,0
9e865bc8e3bacdae6ef40674507d8f4a4f857ebced8b3f37a30a0ca31aa32eac,2,0
c78bfec02c9a477a9da58e07f1c77689953651ebffdf15f360566efd4f6b6787,3,0
fa965087ea72e4c2a373dcc7be4ff03c829efea079fc075030d47a0e5652009e,4,0
af003f38dafd71c6e0260e178f6fe910aece0e1113b75da18f678802424f38e7,2,0
3d484b20254c8c6976481e33e22664590aa21374c4fe7636d404a2f7b1cb1120,2,0
14a337866db2ee6ab0f003ca93ed637edb1109b1bfca8316cca5d7c1e2d34f96,3,0
787f5cfd995ad8942e16e01184283c06f4ca7787a28a14418704cfd4557f2d0a,3,0
